Item,Week #,Regular Price,Special Price,"Units Sold
Last Week","Units Sold
This Week",Promo Spend,"Incremental 
Revenue",Promo ROI
ECONO NECTAR PERA 48/7.1oz,2,$0.79,$0.60,215,360,$68,$46,0.7
ECONO NECTAR PERA 48/7.1oz,5,$0.79,$0.60,157,252,$48,$27,0.6
ECONO NECTAR PERA 48/7.1oz,6,$0.79,$0.60,252,312,$59,-$12,-0.2
ECONO NECTAR PERA 48/7.1oz,7,$0.79,$0.60,312,413,$78,$1,0.0
ECONO NECTAR PERA 48/7.1oz,10,$0.79,$0.60,111,329,$63,$110,1.8
ECONO NECTAR PERA 48/7.1oz,11,$0.79,$0.60,329,292,$55,-$85,-1.5
ECONO NECTAR MELOCOTON 48/7.1oz,2,$0.79,$0.60,341,381,$72,-$41,-0.6
ECONO NECTAR MELOCOTON 48/7.1oz,5,$0.79,$0.60,238,239,$45,-$45,-1.0
ECONO NECTAR MELOCOTON 48/7.1oz,6,$0.79,$0.60,239,266,$51,-$29,-0.6
ECONO NECTAR MELOCOTON 48/7.1oz,7,$0.79,$0.60,266,394,$75,$26,0.4
ECONO NECTAR MELOCOTON 48/7.1oz,10,$0.79,$0.60,200,247,$47,-$10,-0.2
ECONO NECTAR MELOCOTON 48/7.1oz,11,$0.79,$0.60,247,283,$54,-$25,-0.5
ECONO NECTAR GUAYABA 48/7.1oz,2,$0.79,$0.60,405,459,$87,-$45,-0.5
ECONO NECTAR GUAYABA 48/7.1oz,5,$0.79,$0.60,280,292,$55,-$46,-0.8
ECONO NECTAR GUAYABA 48/7.1oz,6,$0.79,$0.60,292,363,$69,-$13,-0.2
ECONO NECTAR GUAYABA 48/7.1oz,7,$0.79,$0.60,363,481,$91,$2,0.0
ECONO NECTAR GUAYABA 48/7.1oz,10,$0.79,$0.60,221,392,$74,$61,0.8
ECONO NECTAR GUAYABA 48/7.1oz,11,$0.79,$0.60,392,384,$73,-$79,-1.1
ECONO JUGO DE PINA 48/7.1oz,2,$0.79,$0.60,301,363,$69,-$20,-0.3
ECONO JUGO DE PINA 48/7.1oz,5,$0.79,$0.60,198,259,$49,-$1,0.0
ECONO JUGO DE PINA 48/7.1oz,6,$0.79,$0.60,259,392,$74,$31,0.4
ECONO JUGO DE PINA 48/7.1oz,7,$0.79,$0.60,392,367,$70,-$89,-1.3
ECONO JUGO DE PINA 48/7.1oz,10,$0.79,$0.60,138,272,$52,$54,1.0
ECONO JUGO DE PINA 48/7.1oz,11,$0.79,$0.60,272,364,$69,$4,0.1
ECONO GRANO/ ENL COLORADA A/SAL 24/15.5oz,5,$0.99,$0.68,559,641,$199,-$118,-0.6
ECONO GRANO/ ENL COLORADA A/SAL 24/15.5oz,6,$0.99,$0.68,641,1060,$329,$86,0.3
ECONO GRANO/ ENL COLORADA A/SAL 24/15.5oz,7,$0.99,$0.68,1060,1379,$427,-$112,-0.3
ECONO GRANO/ ENL COLORADA A/SAL 24/15.5oz,14,$0.99,$0.68,516,555,$172,-$133,-0.8
ECONO GRANO/ ENL ROSADA A/SAL 24/15.5oz,5,$0.99,$0.68,2163,2133,$661,-$691,-1.0
ECONO GRANO/ ENL ROSADA A/SAL 24/15.5oz,6,$0.99,$0.68,2133,3708,"$1,149",$410,0.4
ECONO GRANO/ ENL ROSADA A/SAL 24/15.5oz,7,$0.99,$0.68,3708,4629,"$1,435",-$523,-0.4
ECONO GRANO/ ENL ROSADA A/SAL 24/15.5oz,14,$0.99,$0.68,1872,1923,$596,-$546,-0.9
ECONO GRANO/ ENL PINTAS A/SAL 24/15.5oz,5,$0.99,$0.68,1260,1144,$355,-$469,-1.3
ECONO GRANO/ ENL PINTAS A/SAL 24/15.5oz,6,$0.99,$0.68,1144,1740,$539,$51,0.1
ECONO GRANO/ ENL PINTAS A/SAL 24/15.5oz,7,$0.99,$0.68,1740,2612,$810,$54,0.1
ECONO GRANO/ ENL PINTAS A/SAL 24/15.5oz,14,$0.99,$0.68,1087,946,$293,-$433,-1.5
ECONO GRANO/ ENL BLANCA A/SAL 24/15.5oz,5,$0.99,$0.68,190,204,$63,-$49,-0.8
ECONO GRANO/ ENL BLANCA A/SAL 24/15.5oz,6,$0.99,$0.68,204,353,$109,$38,0.3
ECONO GRANO/ ENL BLANCA A/SAL 24/15.5oz,7,$0.99,$0.68,353,513,$159,-$1,0.0
ECONO GRANO/ ENL BLANCA A/SAL 24/15.5oz,14,$0.99,$0.68,245,184,$57,-$117,-2.1
ECONO GRANO/ ENL GARBANZOS A/SAL 24/15.5oz,5,$0.99,$0.68,244,331,$103,-$16,-0.2
ECONO GRANO/ ENL GARBANZOS A/SAL 24/15.5oz,6,$0.99,$0.68,331,467,$145,-$10,-0.1
ECONO GRANO/ ENL GARBANZOS A/SAL 24/15.5oz,7,$0.99,$0.68,467,584,$181,-$65,-0.4
ECONO GRANO/ ENL GARBANZOS A/SAL 24/15.5oz,14,$0.99,$0.68,282,290,$90,-$82,-0.9
ECONO GANDULES 24/15oz,3,$1.72,$1.00,1334,2391,"$1,729",$92,0.1
ECONO GANDULES 24/15oz,4,$1.72,$1.00,2391,1636,"$1,183","-$2,484",-2.1
ECONO GANDULES 24/15oz,5,$1.72,$1.00,1636,1075,$778,"-$1,744",-2.2
ECONO GANDULES 24/15oz,10,$1.72,$1.00,896,2158,"$1,561",$614,0.4
ECONO GANDULES 24/15oz,11,$1.72,$1.00,2158,2554,"$1,847","-$1,165",-0.6
ECONO CORNED BEEF 24/12oz,5,$3.99,$2.95,1686,1438,"$1,496","-$2,485",-1.7
ECONO CORNED BEEF 24/12oz,6,$3.99,$2.95,1438,2626,"$2,731","$2,009",0.7
ECONO CORNED BEEF 24/12oz,7,$3.99,$2.95,2626,3161,"$3,287","-$1,153",-0.4
ECONO CORNED BEEF 24/12oz,10,$3.99,$2.95,1287,2188,"$2,276","$1,319",0.6
ECONO CORNED BEEF 24/12oz,11,$3.99,$2.95,2188,2710,"$2,818",-$736,-0.3
ECONO CORNED BEEF 24/12oz,14,$3.99,$2.50,1869,2113,"$3,148","-$2,175",-0.7
ECONO CONS CALAMAR JUMBO EN ACEITE 50/4oz,3,$1.99,$1.25,174,654,$484,$471,1.0
ECONO CONS CALAMAR JUMBO EN ACEITE 50/4oz,4,$1.99,$1.25,654,480,$355,-$701,-2.0
ECONO CONS CALAMAR JUMBO EN ACEITE 50/4oz,6,$1.99,$1.25,124,331,$245,$167,0.7
ECONO CONS CALAMAR JUMBO EN ACEITE 50/4oz,7,$1.99,$1.25,331,639,$473,$140,0.3
ECONO CONS CALAMAR JUMBO EN ACEITE 50/4oz,12,$1.99,$1.25,77,339,$251,$271,1.1
ECONO CONS CALAMAR JUMBO EN ACEITE 50/4oz,13,$1.99,$1.25,339,279,$206,-$326,-1.6
ECONO CONS CALAMAR JUMBO AJILLO 50/4oz,3,$1.99,$1.25,209,543,$402,$263,0.7
ECONO CONS CALAMAR JUMBO AJILLO 50/4oz,4,$1.99,$1.25,543,408,$302,-$571,-1.9
ECONO CONS CALAMAR JUMBO AJILLO 50/4oz,6,$1.99,$1.25,96,567,$420,$518,1.2
ECONO CONS CALAMAR JUMBO AJILLO 50/4oz,7,$1.99,$1.25,567,878,$650,-$31,0.0
ECONO CONS CALAMAR JUMBO AJILLO 50/4oz,12,$1.99,$1.25,122,339,$251,$181,0.7
ECONO CONS CALAMAR JUMBO AJILLO 50/4oz,13,$1.99,$1.25,339,281,$208,-$323,-1.6
ECONO CONS CALAMARES EN TINTA 50/4oz,3,$1.99,$1.25,98,307,$227,$189,0.8
ECONO CONS CALAMARES EN TINTA 50/4oz,4,$1.99,$1.25,307,216,$160,-$341,-2.1
ECONO CONS CALAMARES EN TINTA 50/4oz,6,$1.99,$1.25,52,283,$209,$250,1.2
ECONO CONS CALAMARES EN TINTA 50/4oz,7,$1.99,$1.25,283,446,$330,-$6,0.0
ECONO CONS CALAMARES EN TINTA 50/4oz,12,$1.99,$1.25,65,174,$129,$88,0.7
ECONO CONS CALAMARES EN TINTA 50/4oz,13,$1.99,$1.25,174,155,$115,-$153,-1.3
ECONO LECHE EVAPORADA 24/12oz,3,$1.49,$1.18,3266,5674,"$1,759","$1,829",1.0
ECONO LECHE EVAPORADA 24/12oz,4,$1.49,$1.18,5674,4811,"$1,491","-$2,777",-1.9
ECONO LECHE EVAPORADA 24/12oz,6,$1.49,$1.10,2779,9951,"$3,881","$6,805",1.8
ECONO LECHE EVAPORADA 24/12oz,7,$1.49,$1.10,9951,10245,"$3,996","-$3,557",-0.9
ECONO LECHE EVAPORADA 24/12oz,10,$1.49,$1.00,6381,6997,"$3,429","-$2,511",-0.7
ECONO LECHE EVAPORADA 24/12oz,11,$1.49,$1.00,6997,8736,"$4,281","-$1,690",-0.4
ECONO LECHE EVAPORADA 24/12oz,14,$1.49,$1.00,5175,3338,"$1,636","-$4,373",-2.7
ECONO ADOBO S/PIMIENTA 10.5,3,$1.39,$1.25,65,64,$9,-$10,-1.2
ECONO ADOBO S/PIMIENTA 10.5,4,$1.39,$1.25,64,57,$8,-$18,-2.2
ECONO SALSA SPAG PIZZA 12/14oz,2,$1.89,$1.50,113,140,$55,-$4,-0.1
ECONO SALSA SPAG PIZZA 12/14oz,5,$1.89,$1.50,101,104,$41,-$35,-0.9
ECONO SALSA SPAG PIZZA 12/14oz,14,$1.89,$1.50,107,100,$39,-$52,-1.3
ECONO SALSA SPAG MARINARA 12/14oz,2,$1.89,$1.50,57,86,$34,$21,0.6
ECONO SALSA SPAG MARINARA 12/14oz,5,$1.89,$1.50,84,89,$35,-$25,-0.7
ECONO SALSA SPAG MARINARA 12/14oz,14,$1.89,$1.50,75,92,$36,-$4,-0.1
ECONO SALSA SPAG MEAT 12/14oz,2,$1.89,$1.50,96,122,$48,$2,0.0
ECONO SALSA SPAG MEAT 12/14oz,5,$1.89,$1.50,97,137,$53,$22,0.4
ECONO SALSA SPAG MEAT 12/14oz,14,$1.89,$1.50,104,104,$41,-$41,-1.0
ECONO SALSA SPAG MUSHROOM 12/14oz,2,$1.89,$1.50,13,20,$8,$5,0.7
ECONO SALSA SPAG MUSHROOM 12/14oz,5,$1.89,$1.50,29,19,$7,-$26,-3.6
ECONO SALSA SPAG MUSHROOM 12/14oz,14,$1.89,$1.50,17,16,$6,-$8,-1.3
ECONO SALSA SPAG PLAIN 12/14oz,2,$1.89,$1.50,170,247,$96,$49,0.5
ECONO SALSA SPAG PLAIN 12/14oz,5,$1.89,$1.50,216,214,$83,-$87,-1.0
ECONO SALSA SPAG PLAIN 12/14oz,14,$1.89,$1.50,166,180,$70,-$44,-0.6
ECONO SALCHICHA DE POLLO 48/5oz,3,$0.89,$0.58,725,1422,$441,$180,0.4
ECONO SALCHICHA DE POLLO 48/5oz,4,$0.89,$0.58,1422,1214,$376,-$561,-1.5
ECONO SALCHICHA DE POLLO 48/5oz,5,$0.89,$0.58,1214,821,$255,-$604,-2.4
ECONO SALCHICHA DE POLLO 48/5oz,8,$0.89,$0.58,616,1705,$529,$441,0.8
ECONO SALCHICHA DE POLLO 48/5oz,9,$0.89,$0.58,1705,1262,$391,-$785,-2.0
ECONO SALCHICHA DE POLLO 48/5oz,12,$0.89,$0.58,1021,3530,"$1,094","$1,139",1.0
ECONO SALCHICHA DE POLLO 48/5oz,13,$0.89,$0.58,3530,2529,$784,"-$1,675",-2.1
ECONO SALCHICHA DE POLLO 48/5oz,14,$0.89,$0.50,2529,357,$139,"-$2,072",-14.9
ECONO AZUCAR NEGRA 24/16oz,6,$1.44,$1.18,319,804,$209,$489,2.3
ECONO AZUCAR NEGRA 24/16oz,7,$1.44,$1.18,804,949,$247,-$38,-0.2
ECONO AZUCAR NEGRA 24/16oz,10,$1.44,$1.18,291,817,$212,$545,2.6
ECONO AZUCAR NEGRA 24/16oz,11,$1.44,$1.18,817,739,$192,-$304,-1.6
ECONO AZUCAR MORENA 24/2lb,2,$2.69,$2.00,568,586,$404,-$356,-0.9
ECONO ADOBO SAZON C/PIMIENTA,3,$1.39,$1.25,43,60,$8,$15,1.8
ECONO ADOBO SAZON C/PIMIENTA,4,$1.39,$1.25,60,46,$6,-$26,-4.0
ECONO ADOBO SAZON S/PIMIENTA,3,$1.39,$1.25,26,52,$7,$29,4.0
ECONO ADOBO SAZON S/PIMIENTA,4,$1.39,$1.25,52,24,$3,-$42,-12.6
ECONO CONS SARDINAS EN ACEITE 50/4oz,3,$1.99,$1.25,82,131,$97,$1,0.0
ECONO CONS SARDINAS EN ACEITE 50/4oz,4,$1.99,$1.25,131,139,$103,-$87,-0.8
ECONO CONS SARDINAS EN ACEITE 50/4oz,6,$1.99,$1.25,68,164,$121,$70,0.6
ECONO CONS SARDINAS EN ACEITE 50/4oz,7,$1.99,$1.25,164,172,$127,-$111,-0.9
ECONO CONS SARDINAS EN ACEITE 50/4oz,12,$1.99,$1.25,90,132,$98,-$14,-0.1
ECONO CONS SARDINAS EN ACEITE 50/4oz,13,$1.99,$1.25,132,118,$87,-$115,-1.3
ECONO ARROZ GRANO MEDIANO 10/3lb,5,$2.29,$1.50,13678,9995,"$7,896","-$16,330",-2.1
ECONO ARROZ GRANO MEDIANO 10/3lb,14,$2.29,$1.50,12500,7685,"$6,071","-$17,098",-2.8
ECONO SALSA DE TOMATE 48/8oz,3,$0.49,$0.34,4081,7202,"$1,080",$449,0.4
ECONO SALSA DE TOMATE 48/8oz,4,$0.49,$0.34,7202,5341,$801,"-$1,713",-2.1
ECONO SALSA DE TOMATE 48/8oz,6,$0.49,$0.34,1634,2120,$318,-$80,-0.3
ECONO SALSA DE TOMATE 48/8oz,7,$0.49,$0.34,2120,3042,$456,-$5,0.0
ECONO SALSA DE TOMATE 48/8oz,12,$0.49,$0.34,3800,7089,"$1,063",$548,0.5
ECONO SALSA DE TOMATE 48/8oz,13,$0.49,$0.34,7089,4749,$712,"-$1,859",-2.6
ECONO ARROZ GRANO LARGO 10/3lb,3,$2.66,$2.00,79,157,$103,$104,1.0
ECONO ARROZ GRANO LARGO 10/3lb,4,$2.66,$2.00,157,135,$89,-$147,-1.7
ECONO ARROZ GRANO LARGO 10/3lb,5,$2.66,$2.00,135,138,$91,-$83,-0.9
ECONO ARROZ GRANO LARGO 10/3lb,14,$2.66,$2.28,52,44,$17,-$38,-2.3
ECONO AGUA PURIFICADA 4/120oz,2,$1.99,$1.25,628,527,$390,-$591,-1.5
ECONO AGUA PURIFICADA 4/120oz,6,$1.99,$1.25,389,672,$497,$66,0.1
ECONO AGUA PURIFICADA 4/120oz,7,$1.99,$1.25,672,886,$656,-$230,-0.4
ECONO AGUA PURIFICADA 4/120oz,10,$1.99,$1.25,469,933,$690,$233,0.3
ECONO AGUA PURIFICADA 4/120oz,11,$1.99,$1.25,933,732,$542,-$942,-1.7
ECONO VEG FRENCH STYLE GREEN BEANS 24/8oz,5,$0.99,$0.78,526,571,$120,-$75,-0.6
ECONO VEG FRENCH STYLE GREEN BEANS 24/8oz,6,$0.99,$0.78,571,812,$171,$68,0.4
ECONO VEG FRENCH STYLE GREEN BEANS 24/8oz,7,$0.99,$0.78,812,993,$209,-$29,-0.1
ECONO VEG FRENCH STYLE GREEN BEANS 24/8oz,10,$0.99,$0.78,622,708,$149,-$64,-0.4
ECONO VEG FRENCH STYLE GREEN BEANS 24/8oz,11,$0.99,$0.78,708,612,$129,-$224,-1.7
ECONO VEG SLICED BEETS 24/8.25oz,5,$0.99,$0.78,351,325,$68,-$94,-1.4
ECONO VEG SLICED BEETS 24/8.25oz,6,$0.99,$0.78,325,544,$114,$103,0.9
ECONO VEG SLICED BEETS 24/8.25oz,7,$0.99,$0.78,544,578,$121,-$88,-0.7
ECONO VEG SLICED BEETS 24/8.25oz,10,$0.99,$0.78,420,404,$85,-$101,-1.2
ECONO VEG SLICED BEETS 24/8.25oz,11,$0.99,$0.78,404,395,$83,-$92,-1.1
ECONO GALLETA EXPORT SODA PLASTICA 12/24.3oz,6,$5.49,$4.98,471,1016,$518,"$2,474",4.8
ECONO GALLETA EXPORT SODA PLASTICA 12/24.3oz,7,$5.49,$4.98,1016,1129,$576,$45,0.1
ECONO GALLETA EXPORT SODA PLASTICA 12/24.3oz,12,$5.49,$4.98,736,1177,$600,"$1,821",3.0
ECONO GALLETA EXPORT SODA PLASTICA 12/24.3oz,13,$5.49,$4.98,1177,908,$463,"-$1,940",-4.2
ECONO PASTA SECA SPAGUETTI  20/16oz,5,$1.99,$1.25,190,217,$161,-$107,-0.7
ECONO PASTA SECA SPAGUETTI  20/16oz,8,$1.99,$1.25,316,325,$241,-$223,-0.9
ECONO PASTA SECA SPAGUETTI  20/16oz,9,$1.99,$1.25,325,327,$242,-$238,-1.0
ECONO PASTA SECA CODITOS 20/16oz,5,$1.99,$1.25,102,132,$98,-$38,-0.4
ECONO PASTA SECA CODITOS 20/16oz,8,$1.99,$1.25,147,195,$144,-$49,-0.3
ECONO PASTA SECA CODITOS 20/16oz,9,$1.99,$1.25,195,155,$115,-$194,-1.7
ECONO PASTA SECA MACARRONI 20/16oz,5,$1.99,$1.25,50,81,$60,$2,0.0
ECONO PASTA SECA MACARRONI 20/16oz,8,$1.99,$1.25,94,108,$80,-$52,-0.7
ECONO PASTA SECA MACARRONI 20/16oz,9,$1.99,$1.25,108,79,$58,-$116,-2.0
ECONO PASTA SECA LASAGNA 20/16oz,2,$2.49,$2.00,253,299,$147,-$32,-0.2
ECONO PASTA SECA LASAGNA 20/16oz,3,$2.49,$2.00,299,341,$167,-$63,-0.4
ECONO PASTA SECA LASAGNA 20/16oz,4,$2.49,$2.00,341,275,$135,-$299,-2.2
ECONO PASTA SECA LASAGNA 20/16oz,5,$2.49,$2.00,275,249,$122,-$187,-1.5
ECONO PASTA SECA LASAGNA 20/16oz,8,$2.49,$2.00,251,313,$153,$1,0.0
ECONO PASTA SECA LASAGNA 20/16oz,9,$2.49,$2.00,313,280,$137,-$219,-1.6
ECONO PASTA SECA LASAGNA 20/16oz,12,$2.49,$2.00,218,381,$187,$219,1.2
ECONO PASTA SECA LASAGNA 20/16oz,13,$2.49,$2.00,381,342,$168,-$265,-1.6
ECONO VEG WHOLE KERNEL CORN 24/8.75oz,5,$0.99,$0.78,1843,1887,$396,-$353,-0.9
ECONO VEG WHOLE KERNEL CORN 24/8.75oz,6,$0.99,$0.78,1887,2803,$589,$318,0.5
ECONO VEG WHOLE KERNEL CORN 24/8.75oz,7,$0.99,$0.78,2803,3628,$762,$55,0.1
ECONO VEG WHOLE KERNEL CORN 24/8.75oz,10,$0.99,$0.78,1918,2389,$502,-$35,-0.1
ECONO VEG WHOLE KERNEL CORN 24/8.75oz,11,$0.99,$0.78,2389,2562,$538,-$367,-0.7
ECONO VEG CUT GREEN BEANS 24/8oz,5,$0.99,$0.78,282,276,$58,-$64,-1.1
ECONO VEG CUT GREEN BEANS 24/8oz,6,$0.99,$0.78,276,388,$81,$29,0.4
ECONO VEG CUT GREEN BEANS 24/8oz,7,$0.99,$0.78,388,535,$112,$33,0.3
ECONO VEG CUT GREEN BEANS 24/8oz,10,$0.99,$0.78,292,397,$83,$21,0.2
ECONO VEG CUT GREEN BEANS 24/8oz,11,$0.99,$0.78,397,417,$88,-$68,-0.8
ECONO VEG SWEET PEAS 24/8.5oz,5,$0.99,$0.78,77,73,$15,-$19,-1.3
ECONO VEG SWEET PEAS 24/8.5oz,6,$0.99,$0.78,73,116,$24,$18,0.7
ECONO VEG SWEET PEAS 24/8.5oz,7,$0.99,$0.78,116,129,$27,-$14,-0.5
ECONO VEG SWEET PEAS 24/8.5oz,10,$0.99,$0.78,76,74,$16,-$18,-1.1
ECONO VEG SWEET PEAS 24/8.5oz,11,$0.99,$0.78,74,74,$16,-$16,-1.0
ECONO VEG PEAS & CARROTS 24/8.5oz,5,$0.99,$0.78,178,149,$31,-$60,-1.9
ECONO VEG PEAS & CARROTS 24/8.5oz,6,$0.99,$0.78,149,260,$55,$55,1.0
ECONO VEG PEAS & CARROTS 24/8.5oz,7,$0.99,$0.78,260,285,$60,-$35,-0.6
ECONO VEG PEAS & CARROTS 24/8.5oz,10,$0.99,$0.78,177,228,$48,$3,0.1
ECONO VEG PEAS & CARROTS 24/8.5oz,11,$0.99,$0.78,228,175,$37,-$89,-2.4
ECONO VEG SLICED CARROTS 24/8.25oz,5,$0.99,$0.78,90,81,$17,-$26,-1.5
ECONO VEG SLICED CARROTS 24/8.25oz,6,$0.99,$0.78,81,143,$30,$31,1.0
ECONO VEG SLICED CARROTS 24/8.25oz,7,$0.99,$0.78,143,169,$35,-$10,-0.3
ECONO VEG SLICED CARROTS 24/8.25oz,10,$0.99,$0.78,91,121,$25,$4,0.2
ECONO VEG SLICED CARROTS 24/8.25oz,11,$0.99,$0.78,121,130,$27,-$18,-0.7
ECONO ENDULZADOR ASPARTAME 20/50ct,3,$1.79,$1.50,37,47,$14,$4,0.3
ECONO ENDULZADOR ASPARTAME 20/50ct,4,$1.79,$1.50,47,30,$9,-$39,-4.5
ECONO ENDULZADOR ASPARTAME 20/50ct,6,$1.79,$1.50,24,45,$13,$25,1.9
